date,campaign,country,ad_network,installs,clicks,impressions,cost,revenue_d1,revenue_d7,retention_d1,retention_d7
2026-04-24,BrandAware_US,US,tiktok,120,1982,102176,234.34,30.56,83.9,0.2793,0.0863
2026-04-24,InstallDrive_CA,CA,google_ads,121,1164,29770,497.12,141.77,392.51,0.3687,0.1508
2026-04-24,CreativeTest_UK,UK,meta,158,1652,49638,492.16,124.84,345.2,0.4134,0.1815
2026-04-24,LookAlike_AU,AU,tiktok,74,1170,67536,153.9,24.87,68.57,0.2704,0.0971
2026-04-24,UAC_DE,DE,google_ads,116,1263,43872,722.74,138.17,379.22,0.3186,0.1356
2026-04-25,SummerBoost_US,US,meta,214,2605,82916,444.32,109.54,305.75,0.3146,0.1252
2026-04-25,GrowthMax_CA,CA,tiktok,123,1601,61813,480.53,102.12,303.68,0.2904,0.1036
2026-04-25,RetargetPro_UK,UK,google_ads,134,1123,38889,525.56,183.59,496.65,0.3619,0.1551
2026-04-25,VideoAd_AU,AU,meta,90,1232,54055,264.04,47.44,136.91,0.3144,0.1104
2026-04-25,SearchCap_DE,DE,google_ads,128,1229,36537,619.43,153.01,435.24,0.3363,0.1391
2026-04-25,BrandAware_US,US,tiktok,121,2007,102285,242.28,29.53,83.73,0.2634,0.0919
2026-04-25,InstallDrive_CA,CA,google_ads,131,1188,28505,535.5,161.57,429.34,0.3551,0.1435
2026-04-25,CreativeTest_UK,UK,meta,171,1748,50821,530.85,129.48,366.99,0.3924,0.1784
2026-04-25,LookAlike_AU,AU,tiktok,76,1222,69316,150.79,25.44,71.41,0.2705,0.1012
2026-04-25,UAC_DE,DE,google_ads,113,1329,44104,663.55,134.37,370.29,0.3351,0.1295
2026-04-26,SummerBoost_US,US,meta,184,2317,79537,382.76,96.17,284.17,0.3067,0.1202
2026-04-26,GrowthMax_CA,CA,tiktok,115,1494,60797,471.55,95.56,280.77,0.2716,0.0952
2026-04-26,RetargetPro_UK,UK,google_ads,135,1088,38979,516.93,185.48,481.84,0.3684,0.1631
2026-04-26,VideoAd_AU,AU,meta,83,1178,54969,236.69,45.87,127.62,0.2882,0.1092
2026-04-26,SearchCap_DE,DE,google_ads,124,1239,33865,592.11,146.37,392.89,0.3485,0.1442
2026-04-26,BrandAware_US,US,tiktok,129,2132,101675,269.61,33.21,93.83,0.2759,0.09
2026-04-26,InstallDrive_CA,CA,google_ads,142,1245,30991,581.84,163.66,453.25,0.3509,0.1521
2026-04-26,CreativeTest_UK,UK,meta,182,1800,51329,533.69,128.95,366.05,0.3909,0.1768
2026-04-26,LookAlike_AU,AU,tiktok,77,1219,70281,156.99,23.68,70.73,0.2576,0.1004
2026-04-26,UAC_DE,DE,google_ads,115,1299,44620,717.93,140.46,382.69,0.3418,0.1335
2026-04-27,SummerBoost_US,US,meta,177,2254,79043,362.97,100.57,274.88,0.3174,0.123
2026-04-27,GrowthMax_CA,CA,tiktok,110,1522,60276,427.65,87.48,262.31,0.2754,0.1018
2026-04-27,RetargetPro_UK,UK,google_ads,128,1072,39617,492.93,168.86,466.43,0.376,0.161
2026-04-27,VideoAd_AU,AU,meta,78,1169,52399,233.1,38.64,111.74,0.2913,0.1081
2026-04-27,SearchCap_DE,DE,google_ads,127,1241,35914,656.08,138.85,402.53,0.3332,0.1406
2026-04-27,BrandAware_US,US,tiktok,125,2068,104999,257.03,31.88,88.83,0.2821,0.0873
2026-04-27,InstallDrive_CA,CA,google_ads,116,1102,28561,471.86,134.32,373.57,0.3672,0.154
2026-04-27,CreativeTest_UK,UK,meta,175,1709,48338,504.76,142.87,379.23,0.3843,0.1715
2026-04-27,LookAlike_AU,AU,tiktok,85,1258,68683,168.24,26.19,78.14,0.265,0.1013
2026-04-27,UAC_DE,DE,google_ads,123,1331,43208,745.41,147.39,390.52,0.3393,0.128
2026-04-28,SummerBoost_US,US,meta,232,2742,87369,433.8,130.12,360.17,0.3074,0.1255
2026-04-28,GrowthMax_CA,CA,tiktok,149,1831,65678,562.55,134.05,365.96,0.2736,0.1031
2026-04-28,RetargetPro_UK,UK,google_ads,162,1261,42160,643.08,224.1,569.69,0.3926,0.1534
2026-04-28,VideoAd_AU,AU,meta,75,1169,59953,250.23,37.07,111.14,0.3105,0.1065
2026-04-28,SearchCap_DE,DE,google_ads,107,1148,35012,666.42,124.85,354.75,0.3329,0.1463
2026-04-28,BrandAware_US,US,tiktok,105,1851,100648,241.27,26.6,74.9,0.2698,0.0926
2026-04-28,InstallDrive_CA,CA,google_ads,131,1175,29642,513.85,155.95,422.62,0.3611,0.1489
2026-04-28,CreativeTest_UK,UK,meta,103,1099,53278,401.56,73.05,210.92,0.3877,0.1732
2026-04-28,LookAlike_AU,AU,tiktok,122,1693,75168,213.37,39.23,109.63,0.2724,0.1002
2026-04-28,UAC_DE,DE,google_ads,98,1202,44903,669.21,107.22,313.03,0.3311,0.1271
2026-04-29,SummerBoost_US,US,meta,254,2946,92173,464.56,138.14,395.04,0.3319,0.1209
2026-04-29,GrowthMax_CA,CA,tiktok,134,1733,64601,486.36,117.26,335.78,0.289,0.099
2026-04-29,RetargetPro_UK,UK,google_ads,151,1220,40211,565.33,203.79,547.02,0.3988,0.1539
2026-04-29,VideoAd_AU,AU,meta,80,1199,59277,256.76,41.89,120.27,0.2983,0.114
2026-04-29,SearchCap_DE,DE,google_ads,113,1180,37816,685.43,141.44,376.07,0.3398,0.136
2026-04-29,BrandAware_US,US,tiktok,102,1854,106684,218.77,23.63,67.85,0.2725,0.0881
2026-04-29,InstallDrive_CA,CA,google_ads,140,1252,30070,557.43,176.02,456.39,0.3704,0.1519
2026-04-29,CreativeTest_UK,UK,meta,105,1157,52838,420.82,83.84,223.76,0.4131,0.1723
2026-04-29,LookAlike_AU,AU,tiktok,119,1559,72397,215.68,35.32,104.84,0.2649,0.102
2026-04-29,UAC_DE,DE,google_ads,113,1337,47931,759.98,127.2,355.74,0.3241,0.1268
2026-04-30,SummerBoost_US,US,meta,246,2807,84403,470.91,141.71,385.63,0.3255,0.1172
2026-04-30,GrowthMax_CA,CA,tiktok,136,1711,61820,524.63,115.2,339.98,0.2824,0.1013
2026-04-30,RetargetPro_UK,UK,google_ads,153,1205,41965,583.74,220.48,560.17,0.3735,0.1631
2026-04-30,VideoAd_AU,AU,meta,79,1182,56526,262.01,40.52,117.96,0.2947,0.1152
2026-04-30,SearchCap_DE,DE,google_ads,113,1138,35704,688.69,131.62,368.81,0.3391,0.1381
2026-04-30,BrandAware_US,US,tiktok,114,1962,107692,247.79,29.27,80.19,0.2683,0.0918
2026-04-30,InstallDrive_CA,CA,google_ads,141,1270,29730,549.3,162.06,435.79,0.3619,0.1439
2026-04-30,CreativeTest_UK,UK,meta,109,1193,54559,418.27,85.13,236.5,0.4087,0.1802
2026-04-30,LookAlike_AU,AU,tiktok,130,1661,73202,228.0,40.68,117.6,0.271,0.1001
2026-04-30,UAC_DE,DE,google_ads,113,1377,47641,816.27,138.88,369.73,0.3303,0.1342
2026-05-01,SummerBoost_US,US,meta,229,2682,86088,456.81,115.88,343.14,0.3212,0.1181
2026-05-01,GrowthMax_CA,CA,tiktok,141,1766,65136,526.25,117.02,327.86,0.282,0.0973
2026-05-01,RetargetPro_UK,UK,google_ads,163,1233,43157,645.42,227.31,605.07,0.3862,0.1651
2026-05-01,VideoAd_AU,AU,meta,75,1211,60526,247.56,41.2,113.51,0.3112,0.1093
2026-05-01,SearchCap_DE,DE,google_ads,111,1146,36143,660.0,127.32,366.33,0.3489,0.1466
2026-05-01,BrandAware_US,US,tiktok,109,1895,103304,252.75,28.64,78.99,0.2668,0.0883
2026-05-01,InstallDrive_CA,CA,google_ads,150,1321,31575,572.15,172.16,459.28,0.3752,0.1575
2026-05-01,CreativeTest_UK,UK,meta,98,1111,53283,396.25,76.42,213.47,0.4078,0.1873
2026-05-01,LookAlike_AU,AU,tiktok,118,1616,71499,209.74,35.97,102.44,0.2617,0.1029
2026-05-01,UAC_DE,DE,google_ads,104,1186,44385,738.82,125.32,334.31,0.3182,0.1295
2026-05-02,SummerBoost_US,US,meta,214,2662,85835,418.99,118.93,333.88,0.3091,0.1193
2026-05-02,GrowthMax_CA,CA,tiktok,141,1737,63799,531.74,119.47,329.94,0.2716,0.0988
2026-05-02,RetargetPro_UK,UK,google_ads,159,1223,41929,621.54,223.55,600.6,0.3982,0.1625
2026-05-02,VideoAd_AU,AU,meta,75,1137,56447,253.56,38.0,107.43,0.2999,0.1144
2026-05-02,SearchCap_DE,DE,google_ads,111,1157,35279,656.16,133.24,365.68,0.3562,0.1431
2026-05-02,BrandAware_US,US,tiktok,114,1985,106671,265.66,27.8,80.97,0.2684,0.0907
2026-05-02,InstallDrive_CA,CA,google_ads,133,1237,31617,545.17,146.76,411.8,0.3614,0.1571
2026-05-02,CreativeTest_UK,UK,meta,108,1140,52160,420.45,84.14,234.16,0.4123,0.1844
2026-05-02,LookAlike_AU,AU,tiktok,121,1555,73691,209.98,41.33,113.98,0.2658,0.1048
2026-05-02,UAC_DE,DE,google_ads,115,1381,48044,830.77,130.45,361.05,0.3285,0.1322
2026-05-03,SummerBoost_US,US,meta,251,2870,89516,497.9,123.24,361.75,0.3048,0.1246
2026-05-03,GrowthMax_CA,CA,tiktok,142,1833,65197,516.03,128.19,351.84,0.2745,0.0991
2026-05-03,RetargetPro_UK,UK,google_ads,160,1267,40487,620.34,218.2,552.8,0.3662,0.1593
2026-05-03,VideoAd_AU,AU,meta,81,1204,58734,265.14,42.05,124.44,0.2974,0.1056
2026-05-03,SearchCap_DE,DE,google_ads,112,1136,36011,640.6,128.61,359.29,0.3658,0.145
2026-05-03,BrandAware_US,US,tiktok,105,1847,100793,246.44,25.1,72.46,0.2616,0.0866
2026-05-03,InstallDrive_CA,CA,google_ads,145,1298,31975,588.22,165.05,468.51,0.3703,0.1462
2026-05-03,CreativeTest_UK,UK,meta,93,1057,50054,380.91,66.31,189.58,0.4148,0.1769
2026-05-03,LookAlike_AU,AU,tiktok,117,1650,72260,218.15,34.23,101.56,0.2535,0.0967
2026-05-03,UAC_DE,DE,google_ads,99,1239,46639,715.13,112.51,318.14,0.3193,0.1242
2026-05-04,SummerBoost_US,US,meta,249,2873,90127,471.98,134.54,383.88,0.3075,0.12
2026-05-04,GrowthMax_CA,CA,tiktok,143,1744,67686,563.34,119.87,343.94,0.293,0.0956
2026-05-04,RetargetPro_UK,UK,google_ads,164,1243,41911,635.7,223.58,614.59,0.3641,0.1617
2026-05-04,VideoAd_AU,AU,meta,71,1081,55241,235.43,38.44,104.64,0.3009,0.1095
2026-05-04,SearchCap_DE,DE,google_ads,107,1113,36430,664.65,130.5,353.0,0.3577,0.136
2026-05-04,BrandAware_US,US,tiktok,102,1829,104491,227.42,23.78,70.8,0.268,0.0915
2026-05-04,InstallDrive_CA,CA,google_ads,137,1201,30511,524.28,160.77,452.94,0.3455,0.1536
2026-05-04,CreativeTest_UK,UK,meta,105,1132,53621,421.53,75.08,216.74,0.3941,0.183
2026-05-04,LookAlike_AU,AU,tiktok,133,1748,76774,250.61,41.69,120.9,0.262,0.0971
2026-05-04,UAC_DE,DE,google_ads,102,1264,46619,740.77,122.71,332.14,0.3324,0.134
